#	9533589	9545132	-	3743074	3760220	
9533589	9534859	3743074	3744346
9535965	9536410	3745397	3745851
9538671	9538900	3753941	3754170
9539622	9545132	3754716	3760220
#	9548991	9594424	-	3764888	3805371	
9548991	9549557	3764888	3765454
9555352	9556871	3771383	3772904
9557441	9562351	3773197	3778086
9563129	9563562	3778645	3779078
9574154	9576316	3789504	3791643
9577411	9578822	3792725	3794146
9579416	9584381	3794922	3799932
9587693	9594424	3798311	3805371
#	23372542	23374354	-	41597368	41599180	
23372542	23374354	41597368	41599180
