#	491954	753659	-	408653	1605304	
491954	492784	1605304	1604464
494209	495073	1512002	1511128
620784	638910	554086	536196
639026	664806	536137	510505
690536	692416	478995	477111
736800	753659	425274	408653
#	1118825	1126881	-	1737016	1746430	
1118825	1121114	1746430	1743973
1125184	1126881	1738724	1737016
#	3354197	9137853	-	2221117	10392432	
3354197	3437465	10392432	10306942
3932841	4042652	5795796	5685938
4043057	4247992	5685892	5492329
4324132	4325775	5442954	5441310
7432361	7501264	5402131	5337977
8456359	8510959	2885955	2831775
8602755	8604279	2714934	2713398
8607803	8609990	2710384	2708208
8723239	8833835	2558895	2446972
8833920	8890778	2446897	2389342
9054193	9067596	2265048	2251929
9069141	9069407	2250571	2250305
9071105	9073162	2248904	2246680
9099015	9099843	2245467	2244641
9104178	9105901	2240995	2239260
9104688	9106375	2239639	2237950
9136077	9137853	2222891	2221117
#	29606427	44632279	-	34973491	37950319	
29606427	29610384	37950319	37946364
29610812	29611176	37945937	37945572
29611255	29618433	37945493	37938305
44623136	44632279	34982436	34973491
