#	1700207	1701424	-	50001061	50002279	
1700207	1701424	50001061	50002279
#	49432797	49435310	-	63058899	63061390	
49432797	49435310	63058899	63061390
#	93792382	93793497	-	51444366	51445479	
93792382	93793497	51444366	51445479
#	122731641	122732887	-	59355363	59356610	
122731641	122732887	59355363	59356610
#	123859404	123860037	-	65683046	65683682	
123859404	123860037	65683046	65683682
#	128117273	128117552	-	53657589	53657868	
128117273	128117552	53657589	53657868
#	128124562	128130923	-	53664355	53670781	
128124562	128126902	53664355	53666693
128127793	128130923	53667581	53670781
