#	26036292	26037888	-	41434048	41435571	
26036292	26037888	41435571	41434048
#	26040861	26041617	-	41430544	41431300	
26040861	26041617	41431300	41430544
#	28024274	28050933	-	65617074	65644073	
28024274	28026300	65644073	65642047
28027304	28041815	65640970	65626366
28043341	28046322	65624840	65621856
28047326	28050933	65620779	65617074
#	38652372	38679207	-	40041720	40068230	
38652372	38655237	40068230	40065361
38656461	38656966	40064295	40063791
38657300	38661419	40063457	40059346
38661781	38666712	40058984	40054063
38667975	38669243	40052800	40051532
38670597	38671689	40050175	40049083
38671893	38675290	40048879	40045478
38676514	38677019	40044412	40043908
38677353	38679207	40043573	40041720
#	40457576	40458046	-	65701037	65701507	
40457576	40458046	65701507	65701037
#	40461807	40462252	-	65696828	65697273	
40461807	40462252	65697273	65696828
#	43381962	43382905	-	63236056	63236999	
43381962	43382905	63236999	63236056
#	45694619	45695135	-	43709904	43710420	
45694619	45695135	43710420	43709904
#	95872519	95878008	-	66220522	66226047	
95872519	95878008	66226047	66220522
