#	45095	218168	-	3142719	3328937	-	A	
45095	218168	3328937	3142719
#	492062	492784	-	1618351	1619083	-	B	
492062	492784	1619083	1618351
#	492107	492784	-	1622347	1623034	-	B	
492107	492784	1623034	1622347
#	494209	495073	-	1619874	1620748	-	B	
494209	495073	1620748	1619874
#	494514	495071	-	1616064	1616618	-	B	
494514	495071	1616618	1616064
#	2929240	2930871	-	845497	847130	-	A	
2929240	2930871	847130	845497
#	4647337	4650164	-	1833062	1835881	-	B	
4647337	4650164	1835881	1833062
#	4648055	4649013	-	1856272	1857241	-	B	
4648055	4649013	1857241	1856272
#	4696754	4703254	-	1752246	1758963	-	B	
4696754	4699256	1758963	1756448
4699874	4701838	1756144	1754206
4702460	4703254	1753051	1752246
#	8971623	8973754	-	1824683	1826815	-	B	
8971623	8973754	1826815	1824683
#	9019314	9020281	-	1793993	1794971	-	B	
9019314	9020281	1794971	1793993
#	9069761	9071372	-	1675660	1677272	-	B	
9069761	9071372	1677272	1675660
#	9069785	9070829	-	1731091	1732133	-	B	
9069785	9070829	1732133	1731091
#	9099031	9100316	-	1614728	1616013	-	B	
9099031	9100316	1616013	1614728
#	9099098	9100161	-	1719181	1720243	-	B	
9099098	9100161	1720243	1719181
#	9100699	9101331	-	1720347	1720977	-	B	
9100699	9101331	1720977	1720347
#	9103197	9104156	-	1714706	1715665	-	B	
9103197	9104156	1715665	1714706
#	9269064	9269432	-	943892	944259	-	A	
9269064	9269432	944259	943892
#	9795228	9807584	-	402800	415154	-	B	
9795228	9807584	415154	402800
#	9915239	9916214	-	3485	4460	-	B	
9915239	9916214	4460	3485
#	9950650	9951866	-	842452	843666	-	A	
9950650	9951866	843666	842452
